episode,reward,length,loss
199,7,4,0.12826251983642578
200,7,4,0.1268603801727295
201,7,4,0.12528814375400543
202,7,4,0.12357114255428314
203,7,4,0.12173382192850113
204,7,4,0.11979962885379791
205,7,4,0.1177864819765091
206,7,4,0.1157149150967598
207,7,4,0.11359938979148865
208,7,4,0.11145421862602234
209,7,4,0.10929303616285324
210,7,4,0.10712617635726929
211,7,4,0.1049649715423584
212,7,4,0.10281537473201752
213,7,4,0.10068503022193909
214,7,4,0.09858092665672302
215,7,4,0.09650799632072449
216,7,4,0.09446943551301956
217,7,4,0.09247002005577087
218,7,4,0.09051016718149185
219,7,4,0.08859369903802872
220,7,4,0.08672302216291428
221,7,4,0.08489691466093063
222,7,4,0.08311678469181061
223,7,4,0.08138373494148254
224,7,4,0.07969696074724197
225,7,4,0.0780567079782486
226,7,4,0.07646284252405167
227,7,4,0.07491469383239746
228,7,4,0.07340966165065765
229,5,6,46.928951263427734
230,7,4,0.08310124278068542
231,7,4,0.0944458544254303
232,6,5,30.30991554260254
233,7,4,0.13043934106826782
234,7,4,0.15666091442108154
235,7,4,0.18375757336616516
236,7,4,0.21102821826934814
237,7,4,0.23778250813484192
238,7,4,0.26337069272994995
239,7,4,0.28721868991851807
240,7,4,0.30887269973754883
241,7,4,0.32796770334243774
242,7,4,0.3442447781562805
243,7,4,0.35755908489227295
244,7,4,0.36785781383514404
245,7,4,0.3751823306083679
246,7,4,0.3796490728855133
247,7,4,0.3814331591129303
248,7,4,0.3807588815689087
249,7,4,0.37787699699401855
250,7,4,0.3730570375919342
251,7,4,0.3665618300437927
252,7,4,0.35826313495635986
253,7,4,0.34871476888656616
254,7,4,0.3382205665111542
255,7,4,0.3270452618598938
256,7,4,0.3154141306877136
257,7,4,0.30352306365966797
258,7,4,0.2915375530719757
259,7,4,0.2795960307121277
260,7,4,0.2678110897541046
261,7,4,0.2562716007232666
262,7,4,0.24504947662353516
263,7,4,0.2341974377632141
264,7,4,0.223751962184906
265,7,4,0.21374090015888214
266,7,4,0.20417563617229462
267,7,4,0.1950659602880478
268,7,4,0.18640922009944916
269,7,4,0.17820042371749878
270,7,4,0.1704297810792923
271,7,4,0.1630823016166687
272,7,4,0.15614280104637146
273,7,4,0.14959555864334106
274,7,4,0.14342030882835388
275,7,4,0.1376017928123474
276,7,4,0.132117360830307
277,7,4,0.1269514113664627
278,7,4,0.12208175659179688
279,7,4,0.11749473214149475
280,7,4,0.11317013204097748
281,7,4,0.10909312963485718
282,7,4,0.10524803400039673
283,7,4,0.10162043571472168
284,7,4,0.0981968343257904
285,7,4,0.09495985507965088
286,7,4,0.09190292656421661
287,7,4,0.08900998532772064
288,7,4,0.08627267181873322
289,7,4,0.08368076384067535
290,7,4,0.08122242987155914
291,7,4,0.07889144122600555
292,7,4,0.07667557150125504
293,7,4,0.07456976175308228
294,7,4,0.07256659865379333
295,7,4,0.0706591010093689
296,7,4,0.06884291768074036
297,7,4,0.06711221486330032
298,7,4,0.06545919924974442
299,7,4,0.0638824999332428
300,7,4,0.062375508248806
301,7,4,0.060933806002140045
302,7,4,0.059554919600486755
303,7,4,0.05823344364762306
304,7,4,0.056968290358781815
305,7,4,0.05575299263000488
306,7,4,0.05458880960941315
307,7,4,0.053469397127628326
308,7,4,0.05239235609769821
309,7,4,0.05135854333639145
310,7,4,0.05036181956529617
311,7,4,0.04940231889486313
312,7,4,0.04847729951143265
313,7,4,0.04758583381772041
314,7,4,0.04672643914818764
315,7,4,0.045894525945186615
316,7,4,0.04509175568819046
317,7,4,0.04431605339050293
318,7,4,0.0435660220682621
319,7,4,0.042839597910642624
320,7,4,0.04213603585958481
321,7,4,0.04145560786128044
322,7,4,0.04079378396272659
